order_item_id,order_id,product_id,quantity,unit_price_inr,discount_rate,discount_amount_inr,total_price_inr,net_revenue_inr,unit_cost_inr,total_cogs_inr,is_returned,gross_profit_inr,customer_id,order_date,payment_method,order_status,category,retail_price_inr,is_festive_season
IND_ITEM_0000001,IND_ORD_000001,IND_PROD_029,1,1099.0,0.25,274.75,1099.0,824.25,320.0,320.0,0,504.25,IND_CUST_03957,2024-11-21,Credit Card,Delivered,"Home, Kitchen & Living",1099.0,True
IND_ITEM_0000084,IND_ORD_000055,IND_PROD_029,1,1099.0,0.2,219.8,1099.0,879.2,320.0,320.0,0,559.2,IND_CUST_02139,2024-09-18,Credit Card,Delivered,"Home, Kitchen & Living",1099.0,False
IND_ITEM_0000092,IND_ORD_000061,IND_PROD_029,1,1099.0,0.1,109.9,1099.0,989.1,320.0,320.0,0,669.1,IND_CUST_03200,2024-09-17,UPI (GooglePay/PhonePe/Paytm),Delivered,"Home, Kitchen & Living",1099.0,False
IND_ITEM_0000103,IND_ORD_000066,IND_PROD_029,1,1099.0,0.0,0.0,1099.0,1099.0,320.0,320.0,0,779.0,IND_CUST_03467,2024-10-07,Debit Card,Delivered,"Home, Kitchen & Living",1099.0,True
IND_ITEM_0000149,IND_ORD_000102,IND_PROD_029,1,1099.0,0.0,0.0,1099.0,1099.0,320.0,320.0,0,779.0,IND_CUST_04713,2023-06-05,UPI (GooglePay/PhonePe/Paytm),Delivered,"Home, Kitchen & Living",1099.0,False
IND_ITEM_0000156,IND_ORD_000105,IND_PROD_029,1,1099.0,0.2,219.8,1099.0,879.2,320.0,320.0,0,559.2,IND_CUST_00745,2024-10-22,UPI (GooglePay/PhonePe/Paytm),Delivered,"Home, Kitchen & Living",1099.0,True
IND_ITEM_0000194,IND_ORD_000130,IND_PROD_029,1,1099.0,0.2,219.8,1099.0,879.2,320.0,320.0,0,559.2,IND_CUST_04082,2024-10-04,UPI (GooglePay/PhonePe/Paytm),Delivered,"Home, Kitchen & Living",1099.0,True
IND_ITEM_0000240,IND_ORD_000160,IND_PROD_029,1,1099.0,0.0,0.0,1099.0,1099.0,320.0,320.0,0,779.0,IND_CUST_00662,2024-08-06,Cash on Delivery (COD),Delivered,"Home, Kitchen & Living",1099.0,False
IND_ITEM_0000244,IND_ORD_000163,IND_PROD_029,3,1099.0,0.15,494.55,3297.0,2802.45,320.0,960.0,0,1842.45,IND_CUST_01034,2024-06-25,UPI (GooglePay/PhonePe/Paytm),Delivered,"Home, Kitchen & Living",1099.0,False
IND_ITEM_0000270,IND_ORD_000177,IND_PROD_029,1,1099.0,0.1,109.9,1099.0,989.1,320.0,320.0,0,669.1,IND_CUST_02511,2024-12-28,UPI (GooglePay/PhonePe/Paytm),Delivered,"Home, Kitchen & Living",1099.0,False
